X,CH1,
0,-4.80e-02,
1,-8.00e-03,
2,-8.00e-03,
3,-4.00e-02,
4,-4.80e-02,
5,0.00e+00,
6,8.00e-03,
7,-4.00e-02,
8,-3.20e-02,
9,8.00e-03,
10,-2.40e-02,
11,8.00e-03,
12,1.60e-02,
13,-2.40e-02,
14,-1.60e-02,
15,2.40e-02,
16,3.20e-02,
17,-8.00e-03,
18,0.00e+00,
19,3.20e-02,
20,0.00e+00,
21,4.00e-02,
22,8.00e-03,
23,4.80e-02,
24,1.60e-02,
25,4.80e-02,
26,1.60e-02,
27,5.60e-02,
28,2.40e-02,
29,6.40e-02,
30,3.20e-02,
31,6.40e-02,
32,3.20e-02,
33,8.00e-02,
34,4.00e-02,
35,8.00e-02,
36,4.80e-02,
37,8.80e-02,
38,5.60e-02,
39,9.60e-02,
40,5.60e-02,
41,9.60e-02,
42,5.60e-02,
43,1.04e-01,
44,6.40e-02,
45,1.04e-01,
46,7.20e-02,
47,1.12e-01,
48,7.20e-02,
49,1.12e-01,
50,1.12e-01,
51,7.20e-02,
52,8.00e-02,
53,1.20e-01,
54,8.00e-02,
55,1.20e-01,
56,8.80e-02,
57,1.28e-01,
58,9.60e-02,
59,1.36e-01,
60,1.04e-01,
61,1.44e-01,
62,1.12e-01,
63,1.52e-01,
64,1.20e-01,
65,1.68e-01,
66,1.28e-01,
67,1.68e-01,
68,1.36e-01,
69,1.76e-01,
70,1.36e-01,
71,1.84e-01,
72,1.84e-01,
73,1.44e-01,
74,1.92e-01,
75,1.44e-01,
76,1.44e-01,
77,1.92e-01,
78,1.52e-01,
79,2.00e-01,
80,1.92e-01,
81,1.52e-01,
82,2.00e-01,
83,1.60e-01,
84,2.00e-01,
85,1.68e-01,
86,1.68e-01,
87,2.08e-01,
88,1.76e-01,
89,2.16e-01,
90,1.76e-01,
91,2.16e-01,
92,2.24e-01,
93,1.76e-01,
94,1.76e-01,
95,2.24e-01,
96,1.84e-01,
97,2.16e-01,
98,2.16e-01,
99,1.84e-01,
100,2.16e-01,
101,1.76e-01,
102,2.24e-01,
103,1.68e-01,
104,2.16e-01,
105,1.68e-01,
106,2.08e-01,
107,1.68e-01,
108,2.00e-01,
109,1.60e-01,
110,2.00e-01,
111,1.52e-01,
112,1.84e-01,
113,1.44e-01,
114,1.84e-01,
115,1.36e-01,
116,1.68e-01,
117,1.28e-01,
118,1.68e-01,
119,1.20e-01,
120,1.52e-01,
121,1.12e-01,
122,1.04e-01,
123,1.44e-01,
124,1.36e-01,
125,8.00e-02,
126,1.12e-01,
127,7.20e-02,
128,1.04e-01,
129,5.60e-02,
130,8.80e-02,
131,3.20e-02,
132,7.20e-02,
133,2.40e-02,
134,4.80e-02,
135,8.00e-03,
136,-8.00e-03,
137,3.20e-02,
138,1.60e-02,
139,-3.20e-02,
140,8.00e-03,
141,-4.00e-02,
142,-8.00e-03,
143,-4.80e-02,
144,-1.60e-02,
145,-5.60e-02,
146,-2.40e-02,
147,-6.40e-02,
148,-2.40e-02,
149,-7.20e-02,
150,-3.20e-02,
151,-7.20e-02,
152,-7.20e-02,
153,-3.20e-02,
154,-4.00e-02,
155,-8.00e-02,
156,-8.00e-02,
157,-4.00e-02,
158,-4.00e-02,
159,-8.80e-02,
160,-4.80e-02,
161,-8.00e-02,
162,-4.80e-02,
163,-8.80e-02,
164,-8.00e-02,
165,-4.00e-02,
166,-4.00e-02,
167,-8.80e-02,
168,-4.80e-02,
169,-8.80e-02,
170,-8.80e-02,
171,-4.00e-02,
172,-4.80e-02,
173,-8.00e-02,
174,-8.00e-02,
175,-4.00e-02,
176,-8.00e-02,
177,-4.00e-02,
178,-4.00e-02,
179,-8.00e-02,
180,-4.00e-02,
181,-8.00e-02,
182,-4.00e-02,
183,-7.20e-02,
