X,CH1,
0,-1.12e-01,
1,-1.68e-01,
2,-1.28e-01,
3,-1.76e-01,
4,-1.44e-01,
5,-1.92e-01,
6,-1.60e-01,
7,-2.08e-01,
8,-1.76e-01,
9,-2.24e-01,
10,-1.84e-01,
11,-2.32e-01,
12,-2.00e-01,
13,-2.48e-01,
14,-2.16e-01,
15,-2.56e-01,
16,-2.24e-01,
17,-2.72e-01,
18,-2.24e-01,
19,-2.72e-01,
20,-2.80e-01,
21,-2.40e-01,
22,-2.48e-01,
23,-2.96e-01,
24,-2.96e-01,
25,-2.48e-01,
26,-2.88e-01,
27,-2.48e-01,
28,-2.88e-01,
29,-2.40e-01,
30,-2.32e-01,
31,-2.80e-01,
32,-2.64e-01,
33,-2.24e-01,
34,-2.24e-01,
35,-2.56e-01,
36,-2.16e-01,
37,-2.56e-01,
38,-2.56e-01,
39,-2.08e-01,
40,-2.48e-01,
41,-2.00e-01,
42,-2.40e-01,
43,-1.92e-01,
44,-1.92e-01,
45,-2.32e-01,
46,-2.24e-01,
47,-1.76e-01,
48,-2.16e-01,
49,-1.68e-01,
50,-2.00e-01,
51,-1.60e-01,
52,-1.92e-01,
53,-1.52e-01,
54,-1.92e-01,
55,-1.44e-01,
56,-1.84e-01,
57,-1.36e-01,
58,-1.68e-01,
59,-1.04e-01,
60,-1.44e-01,
61,-9.60e-02,
62,-1.20e-01,
63,-7.20e-02,
64,-9.60e-02,
65,-4.80e-02,
66,-8.00e-02,
67,-2.40e-02,
68,-5.60e-02,
69,-8.00e-03,
70,-3.20e-02,
71,1.60e-02,
72,-1.60e-02,
73,2.40e-02,
74,2.40e-02,
75,-1.60e-02,
76,-1.60e-02,
77,2.40e-02,
78,1.60e-02,
79,-3.20e-02,
80,8.00e-03,
81,-4.00e-02,
82,-8.00e-03,
83,-4.80e-02,
84,-1.60e-02,
85,-6.40e-02,
86,-3.20e-02,
87,-8.00e-02,
88,-4.80e-02,
89,-8.80e-02,
90,-5.60e-02,
91,-9.60e-02,
92,-6.40e-02,
93,-1.04e-01,
94,-7.20e-02,
95,-1.20e-01,
96,-8.80e-02,
97,-1.36e-01,
98,-1.04e-01,
99,-1.60e-01,
100,-1.20e-01,
101,-1.76e-01,
102,-1.36e-01,
103,-1.92e-01,
104,-1.44e-01,
105,-2.00e-01,
106,-1.60e-01,
107,-2.16e-01,
108,-1.76e-01,
109,-2.24e-01,
110,-1.84e-01,
111,-2.32e-01,
112,-1.92e-01,
113,-2.40e-01,
114,-2.08e-01,
115,-2.48e-01,
116,-2.48e-01,
117,-2.08e-01,
118,-2.48e-01,
119,-2.08e-01,
120,-2.48e-01,
121,-2.00e-01,
122,-2.48e-01,
123,-2.08e-01,
124,-2.08e-01,
125,-2.56e-01,
126,-2.08e-01,
127,-2.56e-01,
128,-2.48e-01,
129,-2.00e-01,
130,-2.32e-01,
131,-1.84e-01,
132,-1.84e-01,
133,-2.24e-01,
134,-1.84e-01,
135,-2.16e-01,
136,-2.16e-01,
137,-1.76e-01,
138,-2.16e-01,
139,-1.76e-01,
140,-2.16e-01,
141,-1.68e-01,
142,-2.08e-01,
143,-1.60e-01,
144,-1.92e-01,
145,-1.44e-01,
146,-1.76e-01,
147,-1.28e-01,
148,-1.76e-01,
149,-1.28e-01,
150,-1.60e-01,
151,-1.12e-01,
152,-1.44e-01,
153,-1.04e-01,
154,-1.36e-01,
155,-8.80e-02,
156,-1.20e-01,
