X,CH1,
297,-2.32e-01,
298,-2.40e-01,
299,-2.88e-01,
300,-2.80e-01,
301,-2.40e-01,
302,-2.72e-01,
303,-2.24e-01,
304,-2.64e-01,
305,-2.08e-01,
306,-2.48e-01,
307,-2.00e-01,
308,-2.40e-01,
309,-1.92e-01,
310,-2.24e-01,
311,-1.76e-01,
312,-2.16e-01,
313,-1.68e-01,
314,-1.60e-01,
315,-2.08e-01,
316,-1.52e-01,
317,-2.00e-01,
318,-1.84e-01,
319,-1.36e-01,
320,-1.76e-01,
321,-1.36e-01,
322,-1.68e-01,
323,-1.28e-01,
324,-1.60e-01,
325,-1.20e-01,
326,-1.52e-01,
327,-9.60e-02,
328,-9.60e-02,
329,-1.52e-01,
330,-1.28e-01,
331,-2.32e-01,
332,-2.00e-01,
333,-3.12e-01,
334,-2.80e-01,
335,-3.76e-01,
336,-3.44e-01,
337,-4.24e-01,
338,-3.92e-01,
339,-4.48e-01,
340,-4.48e-01,
341,-3.76e-01,
342,-4.08e-01,
343,-3.20e-01,
344,-3.44e-01,
345,-2.32e-01,
346,-2.64e-01,
347,-1.44e-01,
348,-1.68e-01,
349,-4.00e-02,
350,-7.20e-02,
351,3.20e-02,
352,1.60e-02,
353,9.60e-02,
354,7.20e-02,
355,1.36e-01,
356,1.12e-01,
357,1.76e-01,
358,1.44e-01,
359,2.08e-01,
360,1.76e-01,
361,2.32e-01,
362,2.00e-01,
363,2.48e-01,
364,2.16e-01,
365,2.56e-01,
366,2.48e-01,
367,2.08e-01,
368,2.40e-01,
369,1.92e-01,
370,1.92e-01,
371,2.32e-01,
372,1.84e-01,
373,2.32e-01,
374,2.00e-01,
375,2.40e-01,
376,2.40e-01,
377,2.00e-01,
378,2.40e-01,
379,1.92e-01,
380,2.40e-01,
381,1.92e-01,
382,2.40e-01,
383,1.92e-01,
384,2.40e-01,
385,1.76e-01,
386,2.24e-01,
387,1.68e-01,
388,1.60e-01,
389,2.08e-01,
390,2.00e-01,
391,1.60e-01,
392,2.00e-01,
393,1.60e-01,
394,1.92e-01,
395,1.36e-01,
396,1.68e-01,
397,1.04e-01,
398,1.36e-01,
399,7.20e-02,
400,9.60e-02,
401,4.80e-02,
402,7.20e-02,
403,1.60e-02,
404,4.00e-02,
405,-3.20e-02,
406,-1.60e-02,
407,-1.12e-01,
408,-8.00e-02,
409,-1.76e-01,
410,-1.52e-01,
411,-2.40e-01,
412,-2.08e-01,
413,-2.80e-01,
414,-2.56e-01,
415,-3.12e-01,
416,-2.72e-01,
417,-3.28e-01,
418,-2.88e-01,
419,-3.36e-01,
420,-3.20e-01,
421,-2.80e-01,
422,-3.12e-01,
423,-2.64e-01,
424,-2.96e-01,
425,-2.24e-01,
426,-2.64e-01,
427,-1.84e-01,
428,-2.08e-01,
429,-1.36e-01,
430,-1.68e-01,
431,-9.60e-02,
432,-1.28e-01,
433,-5.60e-02,
434,-8.00e-02,
435,-1.60e-02,
436,-4.80e-02,
437,1.60e-02,
438,-8.00e-03,
439,4.00e-02,
440,1.60e-02,
441,7.20e-02,
442,4.80e-02,
443,9.60e-02,
444,6.40e-02,
445,1.04e-01,
446,8.00e-02,
447,1.20e-01,
448,8.00e-02,
449,1.12e-01,
450,1.12e-01,
451,7.20e-02,
452,1.04e-01,
453,5.60e-02,
454,9.60e-02,
455,4.00e-02,
456,8.00e-02,
457,3.20e-02,
458,2.40e-02,
459,7.20e-02,
460,5.60e-02,
461,1.60e-02,
462,4.00e-02,
463,0.00e+00,
464,3.20e-02,
465,-8.00e-03,
466,2.40e-02,
467,-1.60e-02,
468,8.00e-03,
469,-2.40e-02,
470,8.00e-03,
471,-4.00e-02,
472,0.00e+00,
473,-4.00e-02,
474,-8.00e-03,
475,-4.80e-02,
476,-1.60e-02,
477,-5.60e-02,
478,-2.40e-02,
479,-6.40e-02,
480,-2.40e-02,
481,-6.40e-02,
482,-3.20e-02,
483,-8.00e-02,
484,-3.20e-02,
485,-8.00e-02,
486,-3.20e-02,
487,-8.00e-02,
488,-4.80e-02,
489,-8.80e-02,
490,-4.80e-02,
491,-8.80e-02,
492,-5.60e-02,
493,-1.04e-01,
494,-8.00e-02,
495,-1.28e-01,
496,-8.80e-02,
497,-1.36e-01,
498,-1.28e-01,
499,-8.80e-02,
500,-1.20e-01,
501,-8.00e-02,
502,-1.12e-01,
503,-7.20e-02,
504,-1.20e-01,
505,-7.20e-02,
506,-8.00e-02,
507,-1.20e-01,
508,-8.00e-02,
509,-1.20e-01,
510,-8.00e-02,
511,-1.12e-01,
512,-7.20e-02,
513,-1.20e-01,
514,-1.20e-01,
515,-8.00e-02,
516,-1.20e-01,
517,-8.00e-02,
518,-8.80e-02,
519,-1.28e-01,
520,-8.80e-02,
521,-1.28e-01,
522,-1.20e-01,
523,-8.00e-02,
524,-1.20e-01,
525,-8.00e-02,
526,-1.28e-01,
527,-8.00e-02,
528,-1.20e-01,
529,-8.00e-02,
530,-8.80e-02,
531,-1.36e-01,
532,-1.28e-01,
533,-8.80e-02,
534,-8.80e-02,
535,-1.28e-01,
536,-1.28e-01,
537,-8.80e-02,
538,-8.80e-02,
539,-1.28e-01,
540,-1.28e-01,
541,-8.00e-02,
542,-1.28e-01,
543,-8.00e-02,
544,-8.80e-02,
545,-1.28e-01,
546,-8.80e-02,
547,-1.36e-01,
548,-1.28e-01,
549,-8.80e-02,
550,-8.00e-02,
551,-1.28e-01,
552,-8.00e-02,
553,-1.28e-01,
554,-8.80e-02,
555,-1.20e-01,
556,-8.80e-02,
557,-1.28e-01,
558,-8.00e-02,
559,-1.28e-01,
560,-8.00e-02,
561,-1.28e-01,
562,-8.80e-02,
563,-1.28e-01,
564,-1.20e-01,
565,-8.80e-02,
566,-8.00e-02,
567,-1.28e-01,
568,-1.20e-01,
569,-5.60e-02,
570,-8.80e-02,
571,-3.20e-02,
572,-3.20e-02,
573,-1.04e-01,
574,-8.00e-02,
575,-2.08e-01,
576,-1.92e-01,
577,-3.52e-01,
578,-3.28e-01,
579,-4.64e-01,
580,-4.40e-01,
581,-5.36e-01,
582,-5.04e-01,
583,-5.84e-01,
584,-5.44e-01,
585,-6.08e-01,
586,-5.92e-01,
587,-5.04e-01,
588,-5.36e-01,
589,-4.24e-01,
590,-4.56e-01,
591,-3.36e-01,
592,-3.52e-01,
593,-2.24e-01,
594,-2.40e-01,
595,-1.44e-01,
596,-1.68e-01,
597,-6.40e-02,
598,-8.00e-02,
599,2.40e-02,
600,0.00e+00,
601,8.80e-02,
602,6.40e-02,
603,1.36e-01,
604,1.04e-01,
605,1.76e-01,
606,1.44e-01,
607,2.32e-01,
608,1.92e-01,
609,2.64e-01,
610,2.32e-01,
611,3.04e-01,
612,2.72e-01,
613,3.44e-01,
614,3.12e-01,
615,3.60e-01,
616,3.68e-01,
617,3.20e-01,
618,3.68e-01,
619,3.20e-01,
620,3.52e-01,
621,3.04e-01,
622,3.12e-01,
623,3.44e-01,
624,3.52e-01,
625,3.04e-01,
626,3.04e-01,
627,3.52e-01,
628,3.44e-01,
629,2.96e-01,
630,3.28e-01,
631,2.72e-01,
632,3.04e-01,
633,2.40e-01,
634,2.64e-01,
635,2.00e-01,
636,2.32e-01,
637,1.76e-01,
638,2.00e-01,
639,1.36e-01,
640,1.60e-01,
641,9.60e-02,
642,1.28e-01,
643,4.80e-02,
644,6.40e-02,
645,-8.00e-03,
646,8.00e-03,
647,-6.40e-02,
648,-4.00e-02,
649,-1.04e-01,
650,-8.00e-02,
651,-1.44e-01,
652,-1.20e-01,
653,-1.84e-01,
654,-1.60e-01,
655,-2.24e-01,
656,-1.92e-01,
657,-2.56e-01,
658,-2.24e-01,
659,-2.88e-01,
660,-2.48e-01,
661,-2.96e-01,
662,-2.64e-01,
663,-3.12e-01,
664,-2.80e-01,
665,-3.36e-01,
666,-2.96e-01,
667,-3.44e-01,
668,-2.96e-01,
669,-3.44e-01,
670,-3.04e-01,
671,-3.52e-01,
672,-3.52e-01,
673,-3.12e-01,
674,-3.20e-01,
675,-3.60e-01,
676,-3.60e-01,
677,-3.12e-01,
678,-3.52e-01,
679,-3.04e-01,
680,-3.52e-01,
681,-3.12e-01,
682,-3.12e-01,
683,-3.60e-01,
684,-3.52e-01,
685,-3.04e-01,
686,-3.44e-01,
687,-2.96e-01,
688,-3.36e-01,
689,-2.96e-01,
690,-3.36e-01,
691,-2.88e-01,
692,-3.28e-01,
693,-2.80e-01,
694,-3.20e-01,
695,-2.72e-01,
696,-3.12e-01,
697,-2.64e-01,
698,-3.04e-01,
699,-2.56e-01,
700,-2.88e-01,
701,-2.48e-01,
702,-2.40e-01,
703,-2.88e-01,
704,-2.32e-01,
705,-2.72e-01,
706,-2.64e-01,
707,-2.16e-01,
708,-2.16e-01,
709,-2.56e-01,
710,-2.48e-01,
711,-2.00e-01,
712,-2.48e-01,
713,-2.00e-01,
714,-2.32e-01,
715,-1.92e-01,
716,-2.24e-01,
717,-1.76e-01,
718,-2.16e-01,
719,-1.76e-01,
720,-2.08e-01,
721,-1.68e-01,
722,-1.92e-01,
723,-1.52e-01,
724,-1.84e-01,
725,-1.44e-01,
726,-1.84e-01,
727,-1.36e-01,
728,-1.68e-01,
729,-1.36e-01,
730,-1.68e-01,
