X,CH1,
299,4.80e-02,
300,4.40e-02,
301,6.40e-02,
302,5.20e-02,
303,8.00e-02,
304,6.80e-02,
305,8.80e-02,
306,8.40e-02,
307,1.04e-01,
308,9.60e-02,
309,1.20e-01,
310,1.12e-01,
311,1.36e-01,
312,1.28e-01,
313,1.48e-01,
314,1.44e-01,
315,1.56e-01,
316,1.52e-01,
317,1.68e-01,
318,1.60e-01,
319,1.76e-01,
320,1.68e-01,
321,1.84e-01,
322,1.80e-01,
323,1.96e-01,
324,1.96e-01,
325,1.84e-01,
326,1.96e-01,
327,1.84e-01,
328,1.92e-01,
329,1.76e-01,
330,1.84e-01,
331,1.64e-01,
332,1.72e-01,
333,1.48e-01,
334,1.56e-01,
335,1.28e-01,
336,1.36e-01,
337,1.04e-01,
338,1.08e-01,
339,7.60e-02,
340,7.60e-02,
341,4.80e-02,
342,5.20e-02,
343,1.60e-02,
344,2.40e-02,
345,-1.60e-02,
346,-8.00e-03,
347,-4.80e-02,
348,-4.40e-02,
349,-8.00e-02,
350,-7.60e-02,
351,-1.16e-01,
352,-1.08e-01,
353,-1.40e-01,
354,-1.32e-01,
355,-1.60e-01,
356,-1.52e-01,
357,-1.88e-01,
358,-1.76e-01,
359,-2.08e-01,
360,-2.00e-01,
361,-2.24e-01,
362,-2.16e-01,
363,-2.36e-01,
364,-2.28e-01,
365,-2.48e-01,
366,-2.36e-01,
367,-2.56e-01,
368,-2.48e-01,
369,-2.64e-01,
370,-2.48e-01,
371,-2.64e-01,
372,-2.52e-01,
373,-2.60e-01,
374,-2.56e-01,
375,-2.52e-01,
376,-2.52e-01,
377,-2.68e-01,
378,-2.68e-01,
379,-2.52e-01,
380,-2.60e-01,
381,-2.72e-01,
382,-2.60e-01,
383,-2.72e-01,
384,-2.64e-01,
385,-2.52e-01,
386,-2.52e-01,
387,-2.68e-01,
388,-2.64e-01,
389,-2.48e-01,
390,-2.48e-01,
391,-2.64e-01,
392,-2.56e-01,
393,-2.44e-01,
394,-2.52e-01,
395,-2.36e-01,
396,-2.48e-01,
397,-2.32e-01,
398,-2.40e-01,
399,-2.28e-01,
400,-2.36e-01,
401,-2.20e-01,
402,-2.32e-01,
403,-2.12e-01,
404,-2.20e-01,
405,-2.00e-01,
406,-2.08e-01,
407,-1.96e-01,
408,-2.04e-01,
409,-1.92e-01,
410,-2.00e-01,
411,-1.84e-01,
412,-1.96e-01,
413,-1.76e-01,
414,-1.84e-01,
415,-1.64e-01,
416,-1.72e-01,
417,-1.56e-01,
418,-1.60e-01,
419,-1.48e-01,
420,-1.56e-01,
421,-1.36e-01,
422,-1.48e-01,
423,-1.28e-01,
424,-1.36e-01,
425,-1.16e-01,
426,-1.24e-01,
427,-1.12e-01,
428,-1.20e-01,
429,-1.00e-01,
430,-1.08e-01,
431,-9.20e-02,
432,-1.00e-01,
433,-7.60e-02,
434,-8.40e-02,
435,-6.40e-02,
436,-6.80e-02,
437,-4.80e-02,
438,-5.60e-02,
439,-3.60e-02,
440,-4.00e-02,
441,-2.80e-02,
442,-3.20e-02,
443,-1.20e-02,
444,-2.00e-02,
445,0.00e+00,
446,-8.00e-03,
447,1.60e-02,
448,8.00e-03,
449,2.40e-02,
450,1.60e-02,
451,4.00e-02,
452,3.20e-02,
453,5.20e-02,
454,4.40e-02,
455,6.40e-02,
456,6.00e-02,
457,8.00e-02,
458,6.80e-02,
459,8.80e-02,
460,8.40e-02,
461,1.04e-01,
462,9.60e-02,
463,1.20e-01,
464,1.12e-01,
