X,CH1,
-2.7000000e+00,-2.80000e-01,
-2.6799998e+00,-3.20000e-01,
-2.6599998e+00,-4.80000e-01,
-2.6399999e+00,-4.60000e-01,
-2.6199999e+00,-5.60000e-01,
-2.5999999e+00,-5.40000e-01,
-2.5799999e+00,-6.80000e-01,
-2.5599999e+00,-6.80000e-01,
-2.5400000e+00,-8.20000e-01,
-2.5200000e+00,-8.20000e-01,
-2.5000000e+00,-6.20000e-01,
-2.4800000e+00,-6.00000e-01,
-2.4600000e+00,-7.60000e-01,
-2.4400001e+00,-7.60000e-01,
-2.4199998e+00,-9.40000e-01,
-2.3999999e+00,-9.20000e-01,
-2.3799999e+00,-8.20000e-01,
-2.3599999e+00,-8.80000e-01,
-2.3399999e+00,-1.00000e+00,
-2.3199999e+00,-1.00000e+00,
-2.3000000e+00,-9.20000e-01,
-2.2800000e+00,-9.60000e-01,
-2.2600000e+00,-9.20000e-01,
-2.2400000e+00,-9.20000e-01,
-2.2200000e+00,-9.80000e-01,
-2.2000000e+00,-9.80000e-01,
-2.1800001e+00,-9.00000e-01,
-2.1599998e+00,-9.20000e-01,
-2.1399999e+00,-7.80000e-01,
-2.1199999e+00,-7.80000e-01,
-2.0999999e+00,-5.60000e-01,
-2.0799999e+00,-5.60000e-01,
-2.0599999e+00,-2.20000e-01,
-2.0400000e+00,-2.20000e-01,
-2.0200000e+00,8.00000e-02,
-2.0000000e+00,8.00000e-02,
-1.9799999e+00,3.20000e-01,
-1.9599999e+00,3.00000e-01,
-1.9399999e+00,5.20000e-01,
-1.9200000e+00,5.20000e-01,
-1.9000000e+00,6.00000e-01,
-1.8800000e+00,5.80000e-01,
-1.8600000e+00,5.20000e-01,
-1.8399999e+00,5.60000e-01,
-1.8199999e+00,6.40000e-01,
-1.8000000e+00,6.00000e-01,
-1.7800000e+00,6.40000e-01,
-1.7600000e+00,6.20000e-01,
-1.7400000e+00,5.80000e-01,
-1.7199999e+00,5.60000e-01,
-1.6999999e+00,6.20000e-01,
-1.6799999e+00,6.00000e-01,
-1.6600000e+00,6.40000e-01,
-1.6400000e+00,6.20000e-01,
-1.6200000e+00,5.80000e-01,
-1.6000000e+00,6.00000e-01,
-1.5799999e+00,5.40000e-01,
-1.5599999e+00,5.40000e-01,
-1.5400000e+00,4.60000e-01,
-1.5200000e+00,5.00000e-01,
-1.5000000e+00,4.40000e-01,
-1.4800000e+00,4.20000e-01,
-1.4599999e+00,4.80000e-01,
-1.4399999e+00,4.60000e-01,
-1.4200000e+00,5.00000e-01,
-1.4000000e+00,4.80000e-01,
-1.3800000e+00,4.40000e-01,
-1.3600000e+00,4.60000e-01,
-1.3399999e+00,4.00000e-01,
-1.3199999e+00,4.20000e-01,
-1.3000000e+00,3.80000e-01,
-1.2800000e+00,4.00000e-01,
-1.2600000e+00,4.40000e-01,
-1.2400000e+00,4.20000e-01,
-1.2200000e+00,3.60000e-01,
-1.1999999e+00,3.60000e-01,
-1.1799999e+00,3.20000e-01,
-1.1600000e+00,3.40000e-01,
-1.1400000e+00,3.00000e-01,
-1.1200000e+00,3.40000e-01,
-1.1000000e+00,1.80000e-01,
-1.0799999e+00,1.80000e-01,
-1.0599999e+00,1.20000e-01,
-1.0400000e+00,1.20000e-01,
-1.0200000e+00,1.60000e-01,
-1.0000000e+00,1.20000e-01,
-9.7999996e-01,6.00000e-02,
-9.5999998e-01,8.00000e-02,
-9.4000000e-01,-6.00000e-02,
-9.1999996e-01,-2.00000e-02,
-8.9999998e-01,-1.20000e-01,
